id,url,name,type,language,genres,status,runtime,averageRuntime,premiered,ended,officialSite,schedule_time,schedule_days,rating,weight,summary,webChannel_name,webChannel_site,dvd_country,externals_tvrage,externals_thetvdb,externals_imdb,updated
62163,https://www.tvmaze.com/shows/62163/amanda-and-alans-spanish-job,Amanda and Alan's Spanish Job,Reality,English,"['Travel', 'DIY']",To Be Determined,,29.0,2023-01-06,,https://www.bbc.co.uk/programmes/m00275mp,,,7.3,92,"<p>Amanda Holden and Alan Carr will be moving countries for their biggest project yet – they're heading to the sunny south of Spain where they'll take on a rambling, run down property in the province of Andalusia for the third series of their hugely popular series where they renovate ageing properties.</p><p>With many rural areas suffering from de-population, they're hoping to remedy this and bring the tourists back by highlighting some unloved and forgotten areas around the Costa del Sol, in <b>Amanda and Alan's Spanish Job</b>.</p>",BBC iPlayer,https://www.bbc.co.uk/iplayer,,,428958.0,tt26420060,1739033647
52984,https://www.tvmaze.com/shows/52984/konusanlar,Konuşanlar,Talk Show,Turkish,['Comedy'],Running,,50.0,2020-05-12,,https://www.exxen.com/tr/serie/detail/konusanlar/22377,,['Friday'],,67,"<p>This chat show is very different from what you know. Every person is a different story, every story is a different laugh. Hasan Can Kaya first chooses the speakers and then the fun increases with interesting questions.</p>",Exxen,,,,391062.0,tt13667230,1738913143
47890,https://www.tvmaze.com/shows/47890/the-voice-norges-beste-stemme,The Voice – Norges beste stemme,Reality,Norwegian,['Music'],Running,,44.0,2012-01-27,,https://play.tv2.no/programmer/underholdning/the-voice-norges-beste-stemme,,['Friday'],,68,<p><b>The Voice – Norges beste stemme</b> is a Norwegian reality singing competition and local version of The Voice of Holland. It started on 27th of January 2012 and one of the important premises of the show is the quality of the singing talent.</p>,TV 2 Play,,,,255605.0,tt6684464,1737461486
65300,https://www.tvmaze.com/shows/65300/sleepers,Sleepers,Scripted,Dutch,"['Drama', 'Crime']",To Be Determined,,43.0,2022-12-08,,https://v2.videoland.com/sleepers-p_3082,,['Friday'],,42,"<p>Detective Martin Oudkerk was sent to the police academy as an 18-year-old boy by his criminal stepfather Henk, so that he can pass on information later. Martin's world changes when Henk is murdered by a new group of ruthless criminals. When they force Martin to pass on information, he must do everything he can to keep himself going and protect his family. When Martin is finally stuck with nowhere to go, he is forced to cross borders.</p>",Videoland,https://www.videoland.com/,,,427247.0,tt23739022,1736314820
65486,https://www.tvmaze.com/shows/65486/true-crime-belgium,True Crime Belgium,Documentary,Dutch,['Crime'],Running,,,2022-02-16,,https://www.goplay.be/true-crime-belgium,,,,18,"<p>Nail-biting Belgian crime stories, whose harsh reality surpasses fiction. Catchy testimonials from investigators, investigating judges, prosecutors, next of kin and victims who survived the crime will have you on the edge of your seat.</p>",Streamz,,,,416549.0,tt18265458,1736185053
78906,https://www.tvmaze.com/shows/78906/brottsplats-antiken,Brottsplats: Antiken,Documentary,,,Ended,52.0,,2023-12-15,2024-01-12,,,['Friday'],,1,,SVT Play,https://www.svtplay.se/,,,,,1723371645
12060,https://www.tvmaze.com/shows/12060/the-annoying-orange,The Annoying Orange,Animation,English,['Comedy'],Running,,5.0,2009-10-09,,https://www.youtube.com/user/realannoyingorange,,['Friday'],,32,"<p><b>The Annoying Orange</b> is an American comedy web series created by Dane Boedigheimer in 2009. It stars Boedigheimer as an anthropomorphic orange who annoys other fruits, vegetables, and various other objects by using crude-humored jokes.</p>",YouTube,https://www.youtube.com,,31493.0,267576.0,tt1715368,1737822800
13529,https://www.tvmaze.com/shows/13529/super-science-friends,Super Science Friends,Animation,English,"['Action', 'Adventure']",Running,20.0,19.0,2015-11-13,,https://www.facebook.com/supersciencefriends/,,,,37,<p>A group of super powered scientists are sent through time to by Winston Churchill to fight nazis.</p>,YouTube,https://www.youtube.com,,,326037.0,tt5202616,1705270576
41345,https://www.tvmaze.com/shows/41345/james-may-our-man-in,James May: Our Man In…,Documentary,English,"['Comedy', 'Adventure', 'Travel']",Ended,,51.0,2020-01-03,2024-01-05,https://www.primevideo.com/detail/James-May-Our-Man-In/0QSVAQPPPLDBOEXSCPTU1GIGG3,,,7.9,92,"<p>Fifteen years after James May first visited Japan as a baffled tourist, he'll be embarking on a quest to understand the unique, extraordinary and complex country. The birthplace of the haiku and classical art forms driven by the principles of Wabi (stark beauty) and Sabi (natural inspiration) and Yugen (grace and subtlety). Japan is also the place that's given us Godzilla, Hello Kitty, Cosplay, and some of the strangest obsessions on the planet. James will embark on an epic journey across all of Japan from North to South, determined to understand why this unique land and its people are the way they are, what drives their whole culture and what their approach to life can teach the rest of us. James can't speak the language, he is clueless about Japanese etiquette, but at least he knows there's a small tree called a banzai.</p>",Prime Video,https://www.primevideo.com,,,360888.0,tt11302324,1730219902
41414,https://www.tvmaze.com/shows/41414/for-all-mankind,For All Mankind,Scripted,English,"['Drama', 'Science-Fiction']",Running,,60.0,2019-11-01,,https://tv.apple.com/show/for-all-mankind/umc.cmc.6wsi780sz5tdbqcf11k76mkp7,,['Friday'],7.5,99,"<p>Imagine a world where the global space race never ended. This thrilling ""what if"" take on history from Ronald D. Moore (<i>Outlander</i>, <i>Battlestar Galactica</i>) spotlights the high-stakes lives of NASA astronauts and their families.</p>",Apple TV+,https://tv.apple.com/,,,356202.0,tt7772588,1736897413
